frecuency;magnitude;;;
433701408.450704;-95.7710571289063;;;
433718309.859155;-96.8215484619141;;;
433735211.267606;-95.1638488769531;;;
433752112.676056;-96.3227462768555;;;
433769014.084507;-95.3966217041016;;;
433785915.492958;-96.0300750732422;;;
433802816.901408;-97.1068725585938;;;
433819718.309859;-95.4647750854492;;;
433836619.71831;-95.2660980224609;;;
433853521.126761;-96.0912094116211;;;
433870422.535211;-96.6023788452148;;;
433887323.943662;-94.0384979248047;;;
433904225.352113;-93.7723693847656;;;
433921126.760563;-95.0827484130859;;;
433938028.169014;-94.7832336425781;;;
433954929.577465;-92.7052230834961;;;
433971830.985915;-94.0160293579102;;;
433988732.394366;-96.2601470947266;;;
434005633.802817;-92.4652099609375;;;
434022535.211268;-92.9039916992188;;;
434039436.619718;-94.8694381713867;;;
434056338.028169;-95.0605773925781;;;
434073239.43662;-94.6446075439453;;;
434090140.84507;-96.2985534667969;;;
434107042.253521;-100.148124694824;;;
434123943.661972;-102.598320007324;;;
434140845.070423;-96.9244766235352;;;
434157746.478873;-96.3966903686523;;;
434174647.887324;-96.405143737793;;;
434191549.295775;-96.1765441894531;;;
434208450.704225;-94.5229797363281;;;
434225352.112676;-96.2508239746094;;;
434242253.521127;-97.1180725097656;;;
434259154.929577;-94.5168838500977;;;
434276056.338028;-93.2144165039063;;;
434292957.746479;-95.4656982421875;;;
434309859.15493;-96.1709594726563;;;
434326760.56338;-96.0867614746094;;;
434343661.971831;-93.4954147338867;;;
434360563.380282;-94.1991729736328;;;
434377464.788732;-95.7405624389648;;;
434394366.197183;-96.0505447387695;;;
434411267.605634;-97.4804611206055;;;
434428169.014085;-94.9735107421875;;;
434445070.422535;-94.8820495605469;;;
434461971.830986;-96.3956451416016;;;
434478873.239437;-94.2753372192383;;;
434495774.647887;-94.3563690185547;;;
434512676.056338;-95.0754623413086;;;
434529577.464789;-97.2494735717773;;;
434546478.873239;-94.9385986328125;;;
434563380.28169;-95.2325286865234;;;
434580281.690141;-96.2624664306641;;;
434597183.098592;-97.8912048339844;;;
434614084.507042;-97.9994735717773;;;
434630985.915493;-95.6551055908203;;;
434647887.323944;-95.1109313964844;;;
434664788.732394;-95.0687561035156;;;
434681690.140845;-96.8684997558594;;;
434698591.549296;-96.4027328491211;;;
434715492.957747;-95.3400726318359;;;
434732394.366197;-94.9203338623047;;;
434749295.774648;-95.0463714599609;;;
434766197.183099;-95.6478424072266;;;
434783098.591549;-96.3885650634766;;;
434800000;-95.5172882080078;;;
434816901.408451;-95.6603393554688;;;
434833802.816901;-95.1516647338867;;;
434850704.225352;-94.3302154541016;;;
434867605.633803;-92.1483383178711;;;
434884507.042253;-93.6746673583984;;;
434901408.450704;-97.759407043457;;;
434918309.859155;-99.3358459472656;;;
434935211.267606;-96.6687927246094;;;
434952112.676056;-95.8136138916016;;;
434969014.084507;-97.1380920410156;;;
434985915.492958;-99.6358795166016;;;
435002816.901408;-95.9878997802734;;;
435019718.309859;-94.8390655517578;;;
435036619.71831;-95.8769989013672;;;
435053521.126761;-95.2010726928711;;;
435070422.535211;-95.6113891601563;;;
435087323.943662;-96.1862335205078;;;
435104225.352113;-94.1199493408203;;;
435121126.760563;-95.6524353027344;;;
435138028.169014;-96.4446563720703;;;
435154929.577465;-94.6921691894531;;;
435171830.985915;-95.9271545410156;;;
435188732.394366;-97.8188629150391;;;
435205633.802817;-95.082893371582;;;
435222535.211268;-92.945426940918;;;
435239436.619718;-94.3162689208984;;;
435256338.028169;-94.7362670898438;;;
435273239.43662;-95.3041305541992;;;
435290140.84507;-97.1746215820313;;;
435307042.253521;-98.7105102539063;;;
435323943.661972;-98.2438812255859;;;
435340845.070423;-98.6746978759766;;;
435357746.478873;-98.2572021484375;;;
435374647.887324;-96.1373596191406;;;
435391549.295775;-94.9170532226563;;;
435408450.704225;-96.0719985961914;;;
435425352.112676;-97.3843765258789;;;
435442253.521127;-97.6802978515625;;;
435459154.929577;-95.0044250488281;;;
435476056.338028;-94.9211578369141;;;
435492957.746479;-95.2241439819336;;;
435509859.15493;-94.128532409668;;;
435526760.56338;-95.1002807617188;;;
435543661.971831;-95.4351806640625;;;
435560563.380282;-94.5988998413086;;;
435577464.788732;-93.277458190918;;;
435594366.197183;-93.171028137207;;;
435611267.605634;-94.5267333984375;;;
435628169.014085;-93.8782806396484;;;
435645070.422535;-95.4792938232422;;;
435661971.830986;-96.6835098266602;;;
435678873.239437;-96.9633026123047;;;
435695774.647887;-95.7898406982422;;;
435712676.056338;-96.4206161499023;;;
435729577.464789;-97.6122665405273;;;
435746478.873239;-97.200065612793;;;
435763380.28169;-95.5243453979492;;;
435780281.690141;-96.8173065185547;;;
435797183.098592;-98.006462097168;;;
435814084.507042;-97.252197265625;;;
435830985.915493;-95.4607925415039;;;
435847887.323944;-94.1017684936523;;;
435864788.732394;-96.0453948974609;;;
435881690.140845;-95.7474212646484;;;
435898591.549296;-97.8549652099609;;;
435915492.957747;-97.3950347900391;;;
435932394.366197;-95.7243804931641;;;
435949295.774648;-97.7389373779297;;;
435966197.183099;-95.20166015625;;;
435983098.591549;-91.8474044799805;;;
436000000;-93.1343994140625;;;
436016901.408451;-95.9774627685547;;;
436033802.816901;-98.496711730957;;;
436050704.225352;-96.359016418457;;;
436067605.633803;-95.3081436157227;;;
436084507.042253;-96.2043304443359;;;
436101408.450704;-96.9020843505859;;;
436118309.859155;-96.9719161987305;;;
436135211.267606;-95.5731735229492;;;
436152112.676056;-94.0324172973633;;;
436169014.084507;-95.7863235473633;;;
436185915.492958;-97.788688659668;;;
436202816.901408;-95.1986770629883;;;
436219718.309859;-93.6634826660156;;;
436236619.71831;-94.8389282226563;;;
436253521.126761;-98.8864898681641;;;
436270422.535211;-98.3127593994141;;;
436287323.943662;-98.7045745849609;;;
436304225.352113;-98.2161865234375;;;
436321126.760563;-96.0815582275391;;;
436338028.169014;-97.1988983154297;;;
436354929.577465;-96.9461364746094;;;
436371830.985915;-94.8046722412109;;;
436388732.394366;-96.6057968139648;;;
436405633.802817;-97.5232849121094;;;
436422535.211268;-95.325813293457;;;
436439436.619718;-96.5591659545898;;;
436456338.028169;-97.6798477172852;;;
436473239.43662;-96.4059295654297;;;
436490140.84507;-94.1416549682617;;;
436507042.253521;-96.241569519043;;;
436523943.661972;-97.2431564331055;;;
436540845.070423;-95.0287857055664;;;
436557746.478873;-95.313232421875;;;
436574647.887324;-95.3335647583008;;;
436591549.295775;-97.1279983520508;;;
436608450.704225;-96.8361968994141;;;
436625352.112676;-96.4070205688477;;;
436642253.521127;-96.6751098632813;;;
436659154.929577;-95.8666610717773;;;
436676056.338028;-96.2660446166992;;;
436692957.746479;-95.8228302001953;;;
436709859.15493;-95.0608749389648;;;
436726760.56338;-96.6263580322266;;;
436743661.971831;-96.5371017456055;;;
436760563.380282;-96.3771286010742;;;
436777464.788732;-97.3779983520508;;;
436794366.197183;-99.6684875488281;;;
436811267.605634;-97.4810333251953;;;
436828169.014085;-96.1861190795898;;;
436845070.422535;-96.284553527832;;;
436861971.830986;-95.3518218994141;;;
436878873.239437;-95.5786590576172;;;
436895774.647887;-96.8295669555664;;;
436912676.056338;-96.7165374755859;;;
436929577.464789;-94.3158874511719;;;
436946478.873239;-96.0479965209961;;;
436963380.28169;-95.4795837402344;;;
436980281.690141;-94.9455337524414;;;
436997183.098592;-95.9980545043945;;;
437014084.507042;-96.8684539794922;;;
437030985.915493;-95.8491744995117;;;
437047887.323944;-95.3900375366211;;;
437064788.732394;-97.7343215942383;;;
437081690.140845;-95.5229568481445;;;
437098591.549296;-94.7575073242188;;;
437115492.957747;-96.1617813110352;;;
437132394.366197;-97.7523345947266;;;
